eventId,easting,northing,altitude,type,dipDir,dip,dipPolarity,val,displacement,posOnly
10659,528729.1896114816,7529330.400514825,574.0509949107919,0,14.026025727855142,90.0,1.0,0.0,0.0,0
10659,530987.9378125238,7528300.874738314,574.0509949107919,0,14.026025727855142,90.0,1.0,0.0,0.0,0
10659,525092.6881532357,7529839.844362514,575.5047493433143,0,14.026025727855142,90.0,1.0,0.0,0.0,0
16896,520705.49929954123,7461180.437295225,423.82233536921774,0,47.94487060659327,90.0,1.0,0.0,0.0,0
16896,524145.1384430128,7455321.388364605,423.82233536921774,0,47.94487060659327,90.0,1.0,0.0,0.0,0
16896,515766.4007701914,7464648.115112597,341.91437384518133,0,47.94487060659327,90.0,1.0,0.0,0.0,0
16245,541056.4658988541,7459731.589503156,501.5197965528012,0,60.22565772780899,90.0,1.0,0.0,0.0,0
16245,543541.6448714285,7455330.814814276,501.5197965528012,0,60.22565772780899,90.0,1.0,0.0,0.0,0
16245,539115.3975919357,7463032.925368961,401.8951167519793,0,60.22565772780899,90.0,1.0,0.0,0.0,0
12618,513206.7684101747,7459718.650841753,325.5702445347029,0,41.92072984142444,90.0,1.0,0.0,0.0,0
12618,511096.0875400448,7462867.060828061,325.5702445347029,0,41.92072984142444,90.0,1.0,0.0,0.0,0
12618,517029.09629964083,7457572.608251941,356.07713950423334,0,41.92072984142444,90.0,1.0,0.0,0.0,0
16397,529326.735726805,7461195.196242264,399.7854620991609,0,6.238976908330365,90.0,1.0,0.0,0.0,0
16397,520820.1525203356,7460919.957846523,399.7854620991609,0,6.238976908330365,90.0,1.0,0.0,0.0,0
16397,533811.9932105677,7459424.074850119,382.4652044348103,0,6.238976908330365,90.0,1.0,0.0,0.0,0
2837,531547.3284798057,7461708.204695446,444.2622677563497,0,44.50019196782247,90.0,1.0,0.0,0.0,0
2837,527813.2678857748,7464741.622284793,444.2622677563497,0,44.50019196782247,90.0,1.0,0.0,0.0,0
2837,536453.4870851646,7456350.048512726,520.3357989649967,0,44.50019196782247,90.0,1.0,0.0,0.0,0
15527,513729.24198986957,7462976.931292702,322.80743713753134,0,85.54711249044576,90.0,1.0,0.0,0.0,0
15527,512768.9895258237,7465171.376425896,322.80743713753134,0,85.54711249044576,90.0,1.0,0.0,0.0,0
15527,513223.0410088105,7459721.04315299,325.3695954070476,0,85.54711249044576,90.0,1.0,0.0,0.0,0
313,529881.3979403832,7464537.920423982,414.5694099990072,0,12.835156603038635,90.0,1.0,0.0,0.0,0
313,521562.9249386399,7467234.786589895,414.5694099990072,0,12.835156603038635,90.0,1.0,0.0,0.0,0
313,538589.7077303668,7463286.711400802,399.5220098367405,0,12.835156603038635,90.0,1.0,0.0,0.0,0
5001,533225.3741454363,7465730.245866105,466.1578026429793,0,4.972756077914865,90.0,1.0,0.0,0.0,0
5001,530639.3108316362,7465974.273093427,466.1578026429793,0,4.972756077914865,90.0,1.0,0.0,0.0,0
5001,538509.6979051111,7465352.691743791,417.07895651411286,0,4.972756077914865,90.0,1.0,0.0,0.0,0
16502,513797.96416673576,7464210.2288468415,405.3336813368627,0,41.77660927807686,90.0,1.0,0.0,0.0,0
16502,500011.0688953143,7473631.621958189,405.3336813368627,0,41.77660927807686,90.0,1.0,0.0,0.0,0
16502,518371.99638228293,7457341.649216671,335.5242240154611,0,41.77660927807686,90.0,1.0,0.0,0.0,0
7805,596279.2440068978,7465614.251130473,641.2857865068407,0,111.19009399740092,90.0,1.0,0.0,0.0,0
7805,597377.8887356424,7469054.884758688,641.2857865068407,0,111.19009399740092,90.0,1.0,0.0,0.0,0
7805,594945.247103728,7462849.390252387,812.116543792174,0,111.19009399740092,90.0,1.0,0.0,0.0,0
16825,519762.37504883483,7467244.830518847,424.6680648295325,0,29.514297370732294,90.0,1.0,0.0,0.0,0
16825,530948.9171809854,7462012.476706445,424.6680648295325,0,29.514297370732294,90.0,1.0,0.0,0.0,0
16825,505846.3717341786,7476263.183711337,434.88578360510513,0,29.514297370732294,90.0,1.0,0.0,0.0,0
16744,579688.2183274953,7470960.014628681,605.1747414810243,0,3.95826479565298,90.0,1.0,0.0,0.0,0
