layerId,easting,northing,altitude,type,dipDir,dip,dipPolarity,layer
4,502721.49549167714,7468286.043781674,468.17670798233326,4,17.106591529684678,292.31047188782617,1.0,b's0'
17,540953.711855849,7493302.070873594,541.767101457258,4,42.386617081037386,358.4214379041352,1.0,b's0'
17,509773.3129664843,7484203.016162004,428.5665871607631,4,19.865521832670012,109.65226652396825,1.0,b's0'
10,513156.953682849,7462469.856384453,369.8590205248445,4,21.109133172507626,65.80821398366567,1.0,b's0'
10,515360.312647095,7463927.74235414,368.2112145196338,4,62.03543939169685,19.446345569554694,1.0,b's0'
20,523916.6059317649,7473680.150917116,390.460333241509,4,44.38430750628775,336.9974403532194,1.0,b's0'
20,523872.60125856625,7473628.6848105565,390.460333241509,4,38.67549237401872,41.13250016206143,1.0,b's0'
17,536728.6701267819,7490646.687339403,479.95320054411263,4,58.47131865365759,71.52458695556282,1.0,b's0'
16,507719.71924829646,7486496.489897834,470.14441960198513,4,45.79719486701,131.48111167912242,1.0,b's0'
17,516855.8635552293,7471590.599601132,363.91841546686845,4,42.06927047347848,336.325046071153,1.0,b's0'
16,548227.4609030478,7493453.829272532,543.2518643701516,4,16.527116764483367,7.088003813176897,1.0,b's0'
16,548216.9643740143,7493415.0801991,543.2518643701516,4,41.59134215197493,354.7209641866229,1.0,b's0'
20,529880.3840229177,7467345.536500229,445.4979149437791,4,65.09268622422812,15.715848739577723,1.0,b's0'
1,509920.8846062548,7460247.368410114,339.16989615904146,4,27.778708222503653,81.32461635400591,1.0,b's0'
12,512940.61227765825,7470811.191388074,337.06931042107067,4,60.544372200808496,326.2148875681289,1.0,b's0'
16,508421.18402775575,7484621.680041746,455.84740092610855,4,36.244856882700994,242.79243361291628,1.0,b's0'
13,523969.5017056368,7500755.933824268,625.8658874781831,4,39.63240082163747,356.1527059023747,1.0,b's0'
2,502071.1207072823,7459787.52757272,283.07667259692266,4,87.78371889586633,353.0987733748446,1.0,b's0'
20,544739.9828181064,7476288.883460668,462.7584349337095,4,35.11026424610575,345.89681462513244,1.0,b's0'
16,537177.83791115,7490538.098864232,488.8830994920265,4,19.687879177909977,355.1041131642963,1.0,b's0'
20,537059.5098304074,7466010.011170111,417.0749205616261,4,48.099902607314405,19.819870515592754,1.0,b's0'
18,532643.7381009747,7488081.581136515,476.65050577576994,4,63.37700934622055,20.003115904898664,1.0,b's0'
16,543233.5526242171,7505280.35492585,634.1571252425967,4,63.31587588927058,10.22388426726377,1.0,b's0'
8,517108.0528498103,7459547.092269138,335.0024012036548,4,81.23189642552329,16.02021301308423,1.0,b's0'
18,529646.5403677772,7465776.003200749,483.3473669431296,4,88.51245059655062,338.0772461554405,1.0,b's0'
16,543726.5100792564,7504534.380444769,562.4515476712481,4,65.02265702489042,332.2046098985206,1.0,b's0'
20,530130.0630458394,7485431.206133944,419.203048116111,4,78.88463783930351,12.360130025907097,1.0,b's0'
20,532602.8813363333,7483912.248857704,422.012330280383,4,45.24280413861925,310.65606694881177,1.0,b's0'
1,504786.1195969598,7461137.046756792,308.7634615544452,4,58.07984295273292,161.40696977083599,1.0,b's0'
0,503485.34683719685,7460326.994868153,298.7307358477969,4,22.11464314981582,194.07550740245483,1.0,b's0'
